0,1,2,3
금능으뜸원해변,4.6,198,해변 및 야영
새별오름,4.5,1192,
아르떼뮤지엄 제주,4.4,4562,"박물관, 예술 및 미술관"
제주공룡랜드,3.6,1538,앵무새 및 공원
보롬왓,4.1,3079,정원
사라봉공원,4.5,1203,
삼성혈,4.2,1443,전시관이 있는 16세기 사당
제주목 관아,4.2,1112,재건된 1300년대 관청
소인국 테마파크,3.9,2035,세계 명소의 축소판이 있는 잘 가꾸어진 공원
검멀레 해변,4.3,3994,해변
환상숲곶자왈공원,4.3,2205,"숲, 공원 및 자연"
탑동광장,4.2,1431,
삼양해수욕장,4.2,1349,해변
오설록 녹차밭,4.3,2150,정원
새별오름,4.4,397,풍경이 아름다운 화산성 산맥
원앙폭포,4.4,932,폭포 및 야영
금오름,4.5,1557,패러글라이딩
수목원테마파크,4.0,3444,화려한 얼음 조각상이 있는 명소
세화해변,4.5,1458,
서귀포 치유의숲,4.6,1940,숲 및 자연
세잔&칸딘스키展 11/4 OPEN 준비(임시휴관),4.4,6107,"빈센트 반 고흐, 구스타프 클림트 및 예술"
천제연폭포,4.3,4823,3단계로 이루어진 그림 같은 폭포
주상절리대,4.4,9316,20m 높이의 랜드마크 화산 절벽
정방폭포,4.5,9621,절벽에 있는 해안폭포
카멜리아 힐,4.2,12858,일 년 내내 운영되는 유서 깊은 식물원
제주민속촌,4.1,3927,재건한 1890년대 마을
중문 색달해수욕장,4.2,874,작은 모래 해변 겸 서핑 장소
아쿠아플라넷 제주,4.4,11714,파충류가 있는 현대식 수족관
대한불교조계종 약천사,4.4,1813,대형 목불이 있는 화려한 절
테디베어박물관,3.9,2414,테디베어 전시 박물관
서귀포 매일올레시장,4.0,24390,식료품 및 가정용품을 판매하는 실내 시장
송악산,4.6,303,"절벽, 산 및 화산"
외돌개,4.4,2706,일몰을 감상할 수 있는 아름다운 전망대
여미지 식물원,4.0,3047,아름다운 실내 및 실외 식물원
중문관광단지,4.2,544,식당과 박물관이 있는 해안 리조트
마라도,4.3,264,해안 풍경이 아름다운 한적한 섬
쇠소깍,4.2,12959,카약과 뗏목 타기로 유명한 하구
표선해수욕장,4.4,576,해변
박물관은살아있다,4.2,3880,3D 미술과 조각 작품이 있는 독특한 박물관
새연교,4.3,2109,아름다운 보행자 전용 사장교
이중섭미술관,4.2,1957,화가의 생전 거주지에 들어선 미술관
중문색달해변,4.2,129,"해변, 서핑 및 수상 스포츠"
광치기해변,4.6,216,성산일출봉이 보이는 해변
초콜릿랜드,3.4,487,박물관
이중섭거리,3.9,3869,갤러리와 이중섭이 살았던 집이 있는 거리
일출랜드,4.0,1511,정원과 동굴이 있는 명소
건강과성박물관,3.6,1716,성인용 예술작품이 있는 현대 박물관
문섬,4.5,315,스쿠버 다이빙을 즐길 수 있는 아름다운 자연 보호구역
제주허브동산,4.2,2277,밤에 불을 밝히는 꽃과 나무가 있는 정원
초콜릿박물관,3.3,1102,박물관
세리월드,3.8,1014,공원
남원큰엉해안,4.4,1530,절벽 및 자연
황우지 선녀탕,4.4,182,스노클링 및 자연
1100고지휴게소,4.2,4132,습지
김영갑갤러리 두모악,4.4,1514,미술관
뽀로로&타요테마파크 제주,4.2,196,
붉은오름 자연휴양림,4.6,757,야영 및 자연
사계해안,4.6,159,해변
따라비오름,4.5,777,사슴
제주코코몽에코파크,4.0,1044,
다이나믹메이즈 제주,4.1,1710,
법환포구,4.3,1393,해변
돈내코계곡,4.3,686,
새섬,4.4,142,공원
감귤박물관,4.0,1350,박물관
노리매,4.1,747,공원
상효원,4.2,1512,정원
사계해변,4.5,128,서핑
유민미술관,4.3,318,"미술관, 박물관 및 예술"
아프리카박물관,3.5,434,웅장한 건물에 자리한 아프리카 예술 박물관
제주곶자왈도립공원,4.4,1366,공원
제주동백수목원,4.0,1882,
윈드1947카트 테마파크,4.3,1904,
알뜨르비행장,4.4,208,역사
소정방폭포,4.4,532,
사라오름,4.6,783,"호수, 등산 및 등반"
세계자동차＆피아노 박물관,4.2,3146,클래식 자동차와 어린이를 위한 액티비티
서건도,4.2,339,
제주제트,4.4,310,
성산유채꽃밭,4.1,493,
테쉬폰,4.0,579,
점보빌리지,3.8,1022,코끼리
설악해맞이공원,4.2,906,공원
설악산소공원,4.4,201,단풍
속초시립박물관,4.3,888,박물관
국립산악박물관,4.2,1060,"박물관, 등반 및 등산"
척산족욕공원,4.2,1200,온천 및 공원
설악대교,4.0,103,
속초아이 대관람차(Sokchoeye),4.3,283,
봉정암,4.5,304,단풍 및 불교
롯데리조트 속초 워터파크,4.2,125,워터파크
범바위,4.4,236,
청초호 호수공원,4.3,639,공원
계조암,4.3,516,사원 및 불교
얼라이브하트,4.1,1088,
테디베어팜,3.9,159,곰 및 박물관
설악산국립공원 설악동지구,4.5,7680,공원
토왕성폭포 전망대,4.7,212,폭포
아바이마을,3.7,2494,
바우지움,4.1,735,"미술관, 조각, 박물관 및 예술"
