,0,1,2,3
0,G-타워 인천경제자유구역(IFEZ) 청사,4.3,1964,전망대가 있는 유명한 타워
1,을왕리해수욕장,3.8,218,식당이 즐비한 북적이는 모래 해변
2,아쿠아플라넷 일산,4.2,4351,다이빙 공연이 있는 대형 수족관
3,시흥갯골생태공원,4.4,5983,전망대가 있는 강변의 보호구역
4,행주산성,4.3,3537,공원 산책로가 있는 언덕 위 요새
5,웅진플레이도시,4.0,5364,실내 스키 & 워터파크
6,강화 평화전망대,4.3,2548,북한 관련 전시와 망원경으로 보는 전망
7,마니산,4.5,122,절이 있는 강화도 산
8,한국만화박물관,4.2,1832,박물관
9,인천상륙작전기념관,4.2,883,언덕 위 전쟁 기념비와 전시물
10,장릉,4.5,395,무덤
11,보문사,4.3,2177,바다 전경의 고대 불교 사찰
12,짜장면 박물관,3.8,725,박물관
13,트라이볼,4.3,745,다목적 전시관 & 콘서트홀
14,청라 호수공원,4.6,784,공원
15,계양산,4.2,287,등산 및 산
16,시화방조제,4.3,3536,낚시
17,달전망대,4.2,4609,
18,오이도 빨강등대,3.9,6814,등대
19,영종대교,4.2,160,안개
20,광성보,4.3,1820,역사 및 사적
21,정서진,4.3,810,
22,마니산 참성단,4.4,722,등산 및 역사
23,방아머리해수욕장,4.3,952,야영 및 항만
24,상동호수공원,4.4,1603,공원
25,강화역사박물관,4.2,939,박물관 및 역사
26,소무의도,4.2,2067,해변
27,대한성공회 강화성당,4.4,1104,"성당, 건축 및 역사"
28,파주출판도시 휴게소,3.7,3280,
29,수도국산 달동네박물관,4.3,1068,박물관
30,유리섬 박물관,3.8,992,"박물관, 예술 및 미술관"
31,민머루해수욕장,3.9,219,갯벌과 샤워장이 있는 모래 해변
32,초지진(草芝鎭),3.9,1280,역사
33,인천시립박물관,4.3,896,박물관 및 역사
34,고려산,4.2,204,진달래꽃으로 유명한 산
35,인천개항박물관,4.0,209,박물관 및 역사
36,국립생물자원관,4.5,554,"호랑이, 박제, 박쥐, 아무르표범 및 철새"
37,강화루지,4.5,3014,
38,구봉도낙조전망대,4.4,1169,
39,소래생태습지,4.2,789,아름다운 습지 및 조류 관찰 지역
40,대부바다향기테마파크,3.9,423,
41,강화 소창체험관(구 평화직물),4.5,126,박물관
42,씨사이드파크,4.3,416,야영
43,선녀바위,3.9,2386,해변 및 야영
44,한국이민사박물관,4.2,550,박물관
45,시화나래휴게소,4.2,8224,
46,월미공원,4.3,311,공원
47,영종 씨사이드파크 레일바이크,4.1,1891,
48,송도 한옥마을,4.4,194,
49,시흥 연꽃테마파크,4.0,2454,저수지 및 공원
50,관곡지,3.9,247,저수지
51,배곧 한울공원,4.5,882,공원
52,덕진진,4.1,424,역사 및 사적
53,인천아트플랫폼,4.2,546,예술 및 건축
54,대룡시장,3.8,3629,
55,옥토끼우주센터,4.1,1820,박물관 및 과학관
56,실미해수욕장,3.9,131,해변
57,강화 고려궁지,4.0,965,유적 및 역사
58,대전오월드,4.2,6116,놀이기구와 동물원이 있는 소박한 테마파크
59,국립중앙과학관,4.5,4300,현대 과학 기술 박물관
60,한밭수목원,4.6,3123,놀이터와 다양한 식물이 있는 공원
61,청남대(靑南臺),4.3,3288,과거 대통령 별장과 호숫가 공원
62,대전시립미술관,4.3,978,현대 예술작품 및 조각 공원
63,이응노미술관,4.4,486,"미술관, 예술 및 박물관"
64,대둔산,4.4,103,경치 좋은 봉우리가 많은 산
65,장태산 자연휴양림,4.5,3972,대여용 통나무집과 산책로
66,뿌리공원,4.4,2748,계보를 테마로 한 조각 공원
67,엑스포다리,4.5,1115,
68,국립세종수목원,4.5,904,정원
69,세종호수공원,4.5,3190,공원 및 호수
70,계족산 황톳길,4.5,373,
71,대동하늘공원,4.1,1438,공원
72,대전중앙시장,4.1,5547,
73,대전스카이로드,4.1,2403,
74,한빛탑,4.1,1107,공원 및 음악
75,우암사적공원,4.4,691,공원
76,대전아쿠아리움,4.0,1816,수족관
77,화폐박물관,4.3,615,박물관 및 과학관
78,회덕동춘당,4.4,232,
79,대전시립박물관,4.1,489,박물관 및 역사
80,장령산 자연휴양림,4.3,658,"단풍, 야영 및 자연"
81,엑스포시민광장,4.5,3021,공원
82,문의문화재단지,4.1,521,
83,지질박물관,4.4,575,"박물관, 화석 및 과학관"
84,계룡산국립공원 수통골지구,4.5,2784,등산
85,만인산 자연휴양림,4.2,2263,자연
86,용암사,4.4,187,사원
87,상소동산림욕장,4.3,654,자연 및 야영
88,장계관광지,3.8,352,
89,계족산성,4.5,744,
90,대둔산도립공원 (전북),4.5,356,케이블카와 하이킹을 즐길 수 있는 산악 공원
91,수락계곡,4.2,724,야영
92,대전선사박물관,4.2,139,"박물관, 구석기 시대, 선사 시대 및 유적"
93,플라워랜드,4.4,709,
94,장동산림욕장,4.6,468,
95,하늘물빛정원,4.1,3014,정원 및 공원
96,수생식물학습원,4.3,996,정원
97,식장산 해돋이전망대,4.6,2784,
98,둔산선사유적지,3.8,440,"유적, 선사 시대 및 구석기 시대"
99,한밭교육박물관,4.2,101,박물관
