,0,1,2
0,G-타워 인천경제자유구역(IFEZ) 청사,문화적 랜드마크,인천광역시 연수구 아트센터대로 175
1,을왕리해수욕장,해변,인천광역시
2,아쿠아플라넷 일산,수족관,경기도 고양시 일산서구 대화동 한류월드로 282 KR
3,시흥갯골생태공원,생태 공원,경기도 시흥시 연성동 동서로 287
4,행주산성,역사적 장소,경기도 고양시 덕양구 행주동 행주로15번길 89
5,웅진플레이도시,워터파크,경기도 부천시 조마루로 2
6,강화 평화전망대,전망대,인천광역시 강화군 양사면 철산리 산6-1
7,마니산,산봉우리,인천광역시
8,한국만화박물관,박물관,경기도 부천시 길주로 1
9,인천상륙작전기념관,전쟁 기념물,인천광역시 연수구 청량로 138
10,장릉,역사적 명소,경기도 김포시 장릉로 79
11,보문사,불교사찰,서울특별시 성북구 보문사길 20
12,짜장면 박물관,박물관,인천광역시 중구 차이나타운로 56-14
13,트라이볼,문화센터,인천광역시 연수구 송도동 24-6
14,청라 호수공원,공원,인천광역시 서구 크리스탈로 131
15,계양산,산봉우리,인천광역시
16,시화방조제,관광 명소,경기도 안산시 단원구 대부동동
17,달전망대,전망대,경기도 안산시 단원구 대부동 대부황금로 1927
18,오이도 빨강등대,전망대,경기도 시흥시 정왕동 2003-16
19,영종대교,다리,인천광역시 중구 중산동
20,광성보,역사적 명소,인천광역시 강화군 불은면 덕성리 833
21,정서진,관광 명소,인천광역시 서구 오류동
22,마니산 참성단,종교적 성지,인천광역시 강화군 화도면 흥왕리 산42-1
23,방아머리해수욕장,관광 명소,경기도 안산시 단원구 대부북동
24,상동호수공원,공원,경기도 부천시 조마루로 15
25,강화역사박물관,역사 박물관,인천광역시 강화군 하점면 강화대로 994-19
26,소무의도,관광 명소,인천광역시 중구 무의동
27,대한성공회 강화성당,성공회성당,인천광역시 강화군 강화읍 관청리 22 250-0
28,파주출판도시 휴게소,휴게소,경기도 파주시 문발동 495-122
29,수도국산 달동네박물관,박물관,인천광역시 동구 솔빛로 51
30,유리섬 박물관,박물관,경기도 안산시 단원구 부흥로
31,민머루해수욕장,해변,인천광역시
32,초지진(草芝鎭),역사적 명소,인천광역시 강화군 길상면 초지리 624
33,인천시립박물관,박물관,인천광역시 연수구 청량로160번길 26
34,고려산,산봉우리,인천광역시
35,인천개항박물관,박물관,인천광역시 중구 신포로23번길 89
36,국립생물자원관,공공사업부,인천광역시 서구 환경로 42
37,강화루지,놀이공원 놀이기구,인천광역시 강화군 길상면 장흥로 217
38,구봉도낙조전망대,전망대,경기도 안산시 단원구 대부북동 산23
