0,1,2,3
석문 (石門),4.0,265,
물한계곡,4.2,843,야영
정이품송,4.3,413,
옥순대교,4.2,266,
온달산성,4.1,112,
장계관광지,3.8,353,
괴산자연드림파크,4.5,429,
충주세계무술공원,3.9,2301,공원 및 무예
보탑사,4.5,1176,사원 및 건축
정방사,4.5,694,
수옥폭포,4.4,767,
옥계폭포,4.2,405,폭포 및 자연
천주교 원주교구 배론성지,4.6,961,단풍 및 역사
대천해수욕장,4.4,348,다양한 간식을 파는 모래 해변
공산성,4.5,1278,강 전망의 백제 시대 성곽
마곡사,4.4,2872,강과 산이 보이는 사찰
독립기념관,4.6,8686,한국 역사 전시관 및 4D 극장
천리포수목원,4.3,2058,바다 전망의 대형 수목원
코리아플라워파크,3.8,1190,공원
만리포해수욕장,4.3,156,편의시설이 있으며 수영을 할 수 있는 큰 해변
태안해안국립공원,4.3,151,"기암괴석, 갯벌, 해변"
무령왕릉,4.3,2279,언덕에 자리한 유명한 고대 왕릉
외암민속마을,4.1,3620,인공 수로 위의 초가집
꽃지해수욕장,4.2,223,일몰이 장관인 드넓은 해변
대한불교조계종 동학사(東鶴寺),4.2,1732,사찰과 학문 기관
백제문화단지,4.3,2978,재건된 성과 탑 단지
몽산포해수욕장,4.0,101,캠핑장이 있는 긴 모래 해변
안면도 자연휴양림,4.4,1697,자연
국립공주박물관,4.3,2414,고대 지역 유물 소장품
각원사,4.5,1773,불교 및 사원
왜목마을,3.9,4309,일출 풍경과 공공 예술
수덕사,4.4,3366,복원된 불교 사찰
국립생태원,4.5,4165,생태계에 관한 실내 및 야외 전시
정림사지박물관,4.3,1382,"박물관, 불교, 유적, 역사 및 사적"
현충사,4.7,495,단풍
국립부여박물관,4.5,2647,백제 유물을 전시하는 고고학 박물관
베어트리 파크,4.4,2124,분재와 곰이 있는 정원
해미읍성,4.3,7083,잘 보존된 15세기 성
무창포해수욕장,4.4,304,해변
오션어드벤처 천안,3.8,2468,어린이 동반이 가능한 실내 및 실외 워터파크
태안 신두리 해안사구,4.3,2306,"사막, 습지, 해변 및 자연"
개화예술공원,4.1,2047,공원 및 예술
스플라스리솜,4.0,3382,워터파크 및 온천
송산리 고분군,4.0,291,"무덤, 유적, 역사 및 사적"
아라리오갤러리 천안,4.3,468,예술 및 미술관
상화원(尙和園),4.2,2970,정원
대천해수욕장,4.3,1985,해변
신두리해수욕장,4.4,899,해변 및 야영
영인산자연휴양림,4.4,1627,야영 및 자연
할미할아비바위,4.3,251,
간월암,4.3,3185,불교 및 사원
정림사지 오층석탑,4.5,270,"불교, 유적, 역사, 사원 및 건축"
개심사(開心寺),4.4,1706,불교 및 사원
예당호 출렁다리,4.3,520,
청산수목원,3.6,1924,정원
삽교호놀이동산,3.9,3392,놀이공원 및 공원
삽교호 관광지,3.9,2952,
지중해마을,3.4,3843,
안면도쥬라기박물관,3.8,1979,박물관 및 화석
성주산자연휴양림,4.4,767,"숲, 단풍, 야영 및 자연"
천장호 출렁다리,4.1,1149,
장항스카이워크,4.2,2445,
대천해수욕장 스카이바이크,4.1,888,
삽교호함상공원,4.0,973,공원
아미미술관,4.0,1911,미술관 및 예술
신원사,4.5,654,불교 및 사원
세계꽃식물원,4.0,1967,온천 및 정원
연미산자연미술공원,4.2,600,"공원, 자연 및 예술"
돈암서원,4.3,312,역사
부여군 사적관리소,4.1,123,"무덤, 유적, 역사 및 사적"
안면도수목원,4.4,1015,정원
장항송림산림욕장,4.4,550,자연
천수만,4.0,163,"탐조, 자연 및 철새"
온양민속박물관,4.3,447,박물관
공주석장리구석기유적,4.3,434,구석기 시대 및 유적
부여 가림성(성흥산성),4.4,730,
적벽강,4.3,197,야영
국립생태원 에코리움,4.7,1442,정원
태조산공원,4.2,1191,공원
머드광장,4.2,667,
불국사,4.5,13352,2개의 탑이 있는 역사적인 불교 사찰
동궁과 월지,4.5,16239,아름다운 7세기 연못과 궁전
석굴암,4.4,5878,불상으로 유명한 명소
첨성대,4.5,17433,서기 632년에 지어진 관측대 유적지
안동 하회마을,4.1,6063,14~15세기의 전통적인 마을
대릉원,4.5,2478,발굴된 고대 왕릉
국립경주박물관,4.5,9885,경주의 왕실 유산 전시
경주 양동마을,4.1,3003,예스럽고 잘 보존된 집성촌
경주보문관광단지,4.3,2095,산책로와 리조트가 있는 아름다운 호수
경주월드,4.5,10066,계절별로 즐길 수 있는 놀이기구가 있는 테마파크
경주 월정교,4.6,6079,궁전 주변 해자를 가로지르는 재건된 8세기 다리
황리단길,4.2,5201,"전통적인 건축물, 카페, 상점"
천마총(天馬冢),4.4,3762,5~6세기 고분
경주교촌마을,4.1,4528,부유한 가문의 생활을 엿볼 수 있는 박물관
봉정사,4.5,1148,봉우리와 수풀 사이에 위치한 유서 깊은 사찰
문경새재 도립공원,4.5,5266,고지대 산길에 있는 공원
골굴사(骨窟寺),4.4,773,바위에 새긴 불상이 있는 깔끔한 사찰
경주타워,4.2,2030,경주 시내와 호수가 보이는 전망대
가야산국립공원백운분소,4.4,754,산 주변의 외딴 국립공원
병산서원,4.4,1895,고요한 시골의 유서 깊은 서원
