0,1,2
황룡사지,역사적 장소,경상북도 경주시 구황동 320-2
안동 도산서원(陶山書院),문화 유산 보존,경상북도 안동시 도산면 도산서원길 154
국립백두대간수목원,수목원,경상북도 봉화군 춘양면 춘양로 1501
호미곶 해맞이광장,관광 명소,경상북도 포항시 남구 호미곶면 해맞이로150번길 20
캘리포니아 비치,워터파크,경상북도 경주시 보문로 544
주왕산,산봉우리,청송군
영일대해수욕장,해변,포항시
경주 문무대왕릉,역사적 명소,경상북도 경주시 양북면 봉길리 26
보경사(寶鏡寺),불교사찰,경상북도 포항시 북구 송라면 보경로 523
경주 동궁원,식물원,경상북도 경주시 북군동 보문로 74-14
경주 감은사지,역사적 장소,경상북도 경주시 양북면 용당리 55-1
블루원 워터파크,워터파크,경상북도 경주시 보불로 391
하회세계탈박물관,토속 박물관,경상북도 안동시 풍천면 전서로 206
국립등대박물관,해양 박물관,경상북도 포항시 호미곶면 해맞이로150번길 20
석가탑(釋迦塔)(국보 제21호),역사적 명소,경상북도 경주시 불국동 불국로 385
대한불교조계종 직지사(直指寺),불교사찰,경상북도 김천시 대항면 직지사길 95 KR
봉래폭포,관광 명소,경상북도 울릉군 울릉읍 도동리 산39
부용대,관광 명소,경상북도 안동시 풍천면 광덕솔밭길 72
계림,건축 설계사,경상북도 안동시 풍천면 하회리
블루로드,관광 명소,경상북도 영덕군 남정면 부경리 307-6
고래불해수욕장,해변,영덕군
구룡포해수욕장,해변,경상북도 포항시 남구 구룡포읍 호미로426번길 6
경주 양남 주상절리 전망대,전망대,경상북도 경주시 양남면 동해안로 498-13
분황사,불교사찰,경상북도 경주시 분황로 94-11
문경에코랄라,테마파크,경상북도 문경시 가은읍 왕능길 112
포항시립미술관,미술관,경상북도 포항시 북구 환호공원길 10
부석사 무량수전 (無量壽殿),문화 유산 보존,경상북도 영주시 부석면 부석사로 345
영덕해맞이공원,관광 명소,경상북도 영덕군 영덕읍 영덕대게로 968
환호공원,공원,경상북도 포항시 북구 환호동 347
은해사(銀海寺),불교사찰,경상북도 영천시 청통면 청통로 951
월포해수욕장,해변,포항시
소수서원(紹修書院),역사적 명소,경상북도 영주시 순흥면 소백로 2740
경주버드파크,동물원,경상북도 경주시 보문로 74-14
경주국립공원 삼릉탐방지원센터,관광안내소,경상북도 경주시 배동 73-1
뽀로로아쿠아빌리지,워터파크,경상북도 경주시 보문로 182-27
영일대해수욕장,해변,포항시
환호공원 스페이스워크,관광 명소,경상북도 포항시 북구 두호동 산8
삼사해상공원,공원,경상북도 영덕군 강구면 해상공원길 120-7
해인사,불교사찰,경상남도 합천군 가야면 해인사길 122
지리산,산봉우리,산청군
통도사,불교사찰,경상남도 양산시 하북면 통도사로 108
바람의 언덕,관광 명소,경상북도 경주시 양북면 장항리 산 599-24
동피랑 벽화마을,관광 명소,경상남도 통영시 동호동 동피랑1길 6-18
다랭이마을,관광 명소,경상남도 남해군 남면 남면로679번길 21
대한불교조계종 보리암(菩提庵),불교사찰,경상남도 남해군 상주면 보리암로 665
스카이라인루지 통영,관광 명소,경상남도 통영시 도남동 발개로 178 KR
외도 보타니아,섬,거제시
진주성,역사적 명소,경상남도 진주시 성지동 남강로 626
쌍계사,불교사찰,경상남도 하동군 화개면 쌍계사길 59
여좌천,관광 명소,경상남도 창원시 창원시 진해구 여명로
거제도 포로수용소 유적공원,관광 명소,경상남도 거제시 계룡로 61
학동흑진주몽돌해변,해변,거제시
남해 독일마을,관광 명소,경상남도 남해군 삼동면 물건리 1074-2
황매산,산봉우리,합천군
팔만대장경,역사적 장소,경상남도 합천군 가야면 치인리 10
이순신공원,기념공원,경상남도 통영시 멘데해안길 205
소매물도,섬,통영시
신선대,관광 명소,경상남도 거제시 남부면 갈곶리 산21-19
지리산 천왕봉,국립공원,경상남도 함양군 마천면 시천면
합천 영상테마파크,테마파크,경상남도 합천군 용주면 합천호수로 757
대한불교조계종 표충사(表忠寺),불교사찰,경상남도 밀양시 표충로 1338
거제씨월드,수족관,경상남도 거제시 일운면 지세포해안로 15
디피랑(남망산조각공원),관광 명소,경상남도 통영시 정량동 남망공원길 29
거제맹종죽테마파크,관광 명소,경상남도 거제시 하청면 거제북로 700
촉석루,역사적 장소,경상남도 진주시 남강로 626
상주은모래비치,해변,남해군
달아공원,공원,경상남도 통영시 산양읍 산양일주로 1115
에덴밸리리조트,스키장,경상남도 양산시 원동면 어실로 1206
상족암 군립공원,공원,경상남도 고성군 하이면 덕명리
영남루,문화 유산 보존,경상남도 밀양시 중앙로 324
국립진주박물관,국립박물관,경상남도 진주시 남강로 626-35
황매산군립공원,생태 공원,경상남도 합천군 가회면 둔내리 1319
사천 바다 케이블카,산악 케이블카,경상남도 사천시 대방동 688
거가대교,다리,경상남도 거제시 장목면 유호리
배내골,관광 명소,경상남도 양산시 원동면 대리
동의보감촌,테마파크,경상남도 산청군 금서면 동의보감로 555
창선·삼천포대교,다리,경상남도 사천시 대방동 681-9
경남고성공룡세계엑스포,전시,경상남도 고성군 회화면 당항만로 1116
호박소계곡,관광 명소,경상남도 밀양시 산내면
당항포관광지,관광 명소,경상남도 고성군 회화면 당항리 57 KR
부곡온천,온천 호텔,경상남도 창녕군 부곡면 거문리
고성공룡박물관,자연사 박물관,경상남도 고성군 하이면 자란만로 618
경남도립미술관,미술관,경상남도 창원시 의창구 용지로 296
와현해수욕장,해변,거제시
지리산 대원사,불교사찰,경상남도 산청군 삼장면 유평리 304
서피랑,관광 명소,경상남도 통영시 명정동 204-9
남해편백 자연휴양림,휴양림,경상남도 남해군 삼동면 봉화리 산480-2
섬이정원,정원,경상남도 남해군 남면 남면로 1534-110
"거제조선해양문화관 (1관:어촌민속전시관, 2관:조선해양전시관)",과학박물관,경상남도 거제시 일운면 지세포해안로 41 KR
십리벚꽃길,명승지,경상남도 하동군 화개면 삼신리
장유대청계곡,관광 명소,경상남도 김해시 장유면 대청리 794-10
공곶이,정원,경상남도 거제시 일운면 와현리 87
최참판댁,관광 명소,경상남도 하동군 악양면 평사리길 66-7
상림공원(上林公園),공원,경상남도 함양군 함양읍 교산리 1047-1
창원해양공원,공원,경상남도 창원시 창원시 진해구 웅천동 명동로 62
거제식물원 정글돔,식물원,경상남도 거제시 거제면 서정리 978-27
대원사계곡,관광 명소,경상남도 산청군 삼장면 유평리
창동예술촌,관광 명소,경상남도 창원시 마산합포구 창동
