place_ID,name,rate_avg,num_reviews,detail,type,location
359,해운대해수욕장,4.5,1332,수영과 도시 전망을 즐길 수 있는 번화한 해변,해변,부산광역시
360,해동용궁사,4.4,17137,해안가의 14세기 불교 사찰,불교사찰,부산광역시 기장군 용궁길 86
361,감천문화마을,4.3,21527,다채로운 주택과 예술을 즐길 수 있는 독특한 마을,관광 명소,부산광역시 사하구 감내1로 200
362,자갈치시장,4.0,21168,한국 최대의 해산물 시장,수산 시장,부산광역시 중구 자갈치해안로 52
364,"태종대리조트파크, 부산",4.3,4365,해변 전망대가 있는 고지대 공원,공원,부산광역시 영도구 전망로 24
366,범어사,4.6,2923,"1,300년 된 불교 사찰",불교사찰,부산광역시 금정구 범어사로 250
367,다이아몬드타워 (부산타워),4.2,6352,전망대가 있는 높은 타워,관광 명소,부산광역시 중구 용두산길 37-30
368,국제시장,4.1,11206,길거리 음식 및 가정용품을 판매하는 분주한 시장,시장,부산광역시 중구 국제시장2길 25
370,오륙도 스카이워크,4.2,9037,바다 풍경을 내려다볼 수 있는 유리 다리,전망대,부산광역시 남구 오륙도로 137
372,씨라이프 부산 아쿠아리움(SEA LIFE BUSAN),4.2,7327,"수족관, 펭귄, 거북 및 수달",수족관,부산광역시 해운대구 해운대해변로 266
373,용두산공원,4.3,4626,전망대가 있는 산악 공원,공원,부산광역시 중구 용두산길 37-55
374,BIFF광장,4.1,15817,극장과 길거리 음식으로 유명한 활기 넘치는 지역,관광 명소,부산광역시 중구 구덕로 58-1
375,부산시립미술관,4.3,2035,조각 정원이 있는 현대 미술관,미술관,부산광역시 해운대구 APEC로 58
376,스파랜드 신세계백화점 센텀시티점,4.5,2426,온천,스파/헬스클럽,부산광역시 해운대구 센텀남대로 35
378,롯데워터파크 김해,4.1,4707,"슬라이드, 수영장 등이 있는 대규모 공간",워터파크,경상남도 김해시 장유로 555
379,부산시민공원,4.5,7421,옛 미군 기지에 자리한 도심 공원,시티 공원,부산광역시 부산진구 시민공원로 73
380,청사포 다릿돌전망대,4.3,3491,경치가 멋진 부두와 전망대,전망대,부산광역시 해운대구 중동 산3-9
383,송도해상케이블카 송도베이스테이션,4.3,14114,유리 바닥으로 된 케이블카,산악 케이블카,부산광역시 서구 송도해변로 171
385,부평깡통시장,4.1,15664,길거리 음식 가판대가 있는 활기찬 분위기의 시장,야시장,부산광역시 중구 부평1길 39
386,국립해양박물관,4.3,4596,해양 전시와 터널형 수족관,해양 박물관,부산광역시 영도구 해양로301번길 45
389,다대포해수욕장,4.3,1565,해변,해변,부산광역시
391,삼락생태공원,4.3,1864,"새, 산책로, 스포츠 시설",생태 공원,부산광역시 사상구 삼락동 686
392,전포 카페거리,4.2,1410,신선한 커피와 식사를 판매하는 트렌디한 카페,관광 명소,부산광역시 부산진구 동천로 92
393,부산현대미술관,4.3,2078,"미술관, 예술 및 박물관",미술관,부산광역시 사하구 낙동남로 1191
394,민락수변공원,4.2,5786,멋진 경관과 피크닉 장소를 갖춘 수변 공원,공원,부산광역시 수영구 광안해변로 361
396,흰여울문화마을,4.3,5518,해안 산책로가 있는 전원풍 지역,관광 명소,부산광역시 영도구 영선동4가 1043
398,부산박물관,4.3,1546,부산의 역사 및 문화 박물관,박물관,부산광역시 남구 유엔평화로 63
399,송도구름산책로,4.4,5481,바다를 보며 걸을 수 있는 현대적인 해변 스카이워크,관광 명소,부산광역시 서구 암남동 129-4
402,대저생태공원,4.2,1683,조류 관찰과 형형색색의 계절 꽃,공원,부산광역시 강서구 대저1동 2314-11
407,아홉산숲,4.0,4256,숲,수목원,부산광역시 기장군 철마면 미동길 37-1
409,허심청 온천탕,4.3,3312,식당을 갖춘 대형 온천 스파,스파,부산광역시 동래구 금강공원로20번길 23
411,해운대 전통시장,4.1,2002,시장,시장,부산광역시 해운대구 구남로41번길 22-1
412,어린이대공원,4.5,1748,동물원 및 공원,공원,부산광역시 부산진구 새싹로 295
413,국립부산과학관,4.5,1938,과학관 및 어린이 박물관,과학박물관,부산광역시 기장군 동부산관광6로 59
414,김해가야테마파크,4.1,2941,고대 문화를 주제로 한 놀이 마을,테마파크,경상남도 김해시 가야테마길 161
417,보수동책방골목,4.1,3207,서점이 늘어선 좁은 골목,관광 명소,부산광역시 중구 보수동1가
418,국립김해박물관,4.3,1410,가야 문화를 보여주는 박물관,국립박물관,경상남도 김해시 가야의길 190
422,기장시장,3.9,7182,해산물로 유명한 활기찬 시장,시장,부산광역시 기장군 기장읍 대라리 64-2
425,부전시장,4.1,6004,농수산물과 육류를 판매하는 인기 시장,재래시장,부산광역시 부산진구 중앙대로783번길 23
428,다대포 꿈의 낙조분수,4.4,4005,음악과 함께 하는 조명 분수 쇼,공원,부산광역시 사하구 다대동 몰운대1길 14
431,F1963,4.4,3285,예술 및 건축,문화센터,부산광역시 수영구 구락로123번길 20
432,영도등대,4.4,1605,등대,관광 명소,부산광역시 영도구 동삼동 1054
436,수로왕릉,4.3,1216,"무덤, 유적, 역사 및 사적",고분/왕릉,경상남도 김해시 가락로93번길 26
437,아미산 전망대,4.4,1093,,전망대,부산광역시 사하구 다대낙조2길 77
438,대한불교천태종 삼광사,4.5,1163,불교 및 사원,불교사찰,부산광역시 부산진구 초읍천로43번길 77
440,매미성,4.0,3699,성,관광 명소,경상남도 거제시 장목면 복항길
