0,1,2
0,2,3
1,2,5
2,2,4
8,2,4
21,2,3
24,2,3
26,2,3
30,2,5
37,2,4
73,2,4
0,14,5
3,14,5
11,14,5
14,14,5
20,14,5
33,14,5
59,14,5
0,24,5
11,24,5
20,24,5
26,24,5
27,24,5
35,24,5
37,24,5
69,24,5
78,24,5
0,26,3
3,26,5
20,26,2
34,26,5
59,26,5
0,29,5
20,29,3
26,29,5
34,29,5
63,29,4
69,29,5
0,33,5
3,33,5
24,33,5
37,33,5
40,33,5
0,45,5
8,45,4
40,45,5
52,45,4
63,45,4
66,45,5
0,47,4
2,47,4
2,47,5
21,47,4
21,47,5
55,47,4
58,47,5
63,47,3
72,47,4
81,47,5
0,48,4
1,48,4
7,48,5
24,48,3
73,48,4
0,54,4
2,54,5
19,54,4
21,54,5
32,54,4
34,54,5
35,54,5
43,54,5
48,54,3
79,54,5
81,54,5
0,55,5
1,55,5
3,55,4
5,55,5
7,55,4
8,55,5
11,55,3
14,55,5
20,55,4
21,55,5
30,55,4
35,55,5
37,55,3
40,55,4
43,55,5
48,55,4
63,55,4
69,55,4
0,58,4
9,58,4
21,58,4
26,58,4
81,58,3
0,65,4
5,65,4
7,65,4
14,65,4
21,65,4
30,65,4
32,65,5
43,65,5
58,65,4
63,65,5
73,65,4
78,65,4
0,78,4
1,78,3
11,78,5
14,78,5
19,78,4
32,78,5
33,78,5
35,78,4
35,78,5
48,78,4
58,78,5
59,78,5
66,78,4
69,78,5
72,78,4
77,78,5
0,80,5
20,80,5
35,80,5
43,80,5
72,80,5
81,80,5
0,82,4
1,82,5
2,82,5
3,82,4
5,82,4
27,82,4
30,82,4
37,82,3
73,82,4
78,82,4
0,84,5
7,84,5
14,84,5
20,84,5
21,84,5
52,84,5
58,84,5
66,84,5
0,96,5
3,96,3
5,96,5
9,96,3
24,96,4
26,96,5
0,103,3
2,103,4
3,103,3
8,103,3
9,103,3
26,103,3
0,105,4
2,105,5
21,105,5
27,105,5
52,105,5
54,105,4
0,107,3
1,107,4
2,107,4
11,107,4
21,107,5
58,107,4
0,108,3
1,108,3
14,108,5
21,108,4
52,108,3
81,108,3
0,115,4
9,115,1
11,115,3
40,115,4
58,115,3
0,116,5
3,116,5
7,116,4
9,116,5
14,116,4
26,116,4
30,116,4
35,116,4
40,116,4
53,116,5
58,116,5
66,116,5
69,116,5
0,119,4
2,119,3
5,119,5
8,119,3
9,119,4
58,119,3
0,121,5
11,121,5
21,121,5
59,121,5
81,121,4
0,153,5
11,153,4
14,153,5
26,153,5
37,153,5
0,157,3
5,157,4
8,157,4
11,157,4
14,157,5
27,157,4
0,158,5
11,158,4
19,158,4
20,158,5
50,158,4
63,158,4
0,175,5
2,175,4
3,175,5
5,175,5
9,175,5
14,175,5
20,175,3
26,175,3
27,175,5
30,175,4
34,175,5
37,175,5
39,175,5
40,175,5
58,175,5
66,175,5
0,199,4
3,199,4
7,199,4
14,199,3
21,199,5
30,199,4
32,199,5
35,199,4
35,199,3
40,199,3
63,199,4
77,199,5
78,199,3
0,214,5
7,214,5
16,214,5
17,214,5
30,214,5
34,214,4
72,214,5
81,214,4
0,221,5
1,221,4
5,221,4
16,221,5
33,221,4
37,221,5
39,221,4
52,221,4
63,221,4
81,221,5
0,223,3
5,223,3
7,223,4
66,223,4
72,223,4
0,227,5
20,227,5
27,227,4
35,227,5
39,227,5
54,227,5
55,227,4
0,228,3
2,228,3
14,228,1
21,228,3
33,228,2
52,228,2
58,228,3
0,244,5
1,244,5
5,244,5
21,244,5
35,244,5
37,244,5
48,244,5
0,252,4
5,252,3
21,252,3
34,252,4
39,252,4
0,258,4
2,258,5
8,258,3
26,258,4
43,258,5
1,287,5
7,287,5
8,287,5
14,287,5
26,287,4
35,287,5
48,287,5
59,287,4
63,287,4
81,287,4
1,288,3
11,288,4
21,288,3
39,288,4
59,288,4
66,288,4
1,297,4
16,297,4
19,297,4
21,297,5
21,297,4
50,297,5
54,297,5
1,303,5
11,303,5
30,303,3
37,303,4
72,303,5
1,309,5
2,309,3
9,309,4
24,309,5
58,309,4
1,310,5
8,310,3
13,310,5
19,310,5
37,310,5
48,310,5
1,327,5
11,327,5
14,327,5
24,327,4
26,327,4
37,327,5
58,327,5
73,327,5
1,339,3
2,339,3
26,339,3
27,339,3
40,339,3
1,342,4
2,342,4
5,342,4
8,342,4
11,342,4
21,342,4
30,342,4
37,342,4
40,342,5
48,342,4
73,342,4
77,342,4
1,358,4
21,358,3
24,358,4
43,358,3
66,358,4
1,361,5
2,361,5
3,361,5
13,361,5
59,361,5
72,361,3
1,363,5
3,363,5
8,363,4
14,363,5
39,363,5
52,363,4
66,363,4
69,363,5
73,363,5
1,394,5
5,394,5
11,394,5
21,394,5
52,394,5
1,399,5
7,399,5
11,399,5
14,399,5
20,399,5
24,399,5
34,399,5
39,399,5
43,399,5
48,399,4
69,399,5
79,399,5
1,400,3
2,400,5
8,400,3
24,400,4
27,400,5
1,401,4
30,401,4
37,401,5
40,401,4
58,401,4
1,404,3
3,404,4
5,404,4
7,404,4
9,404,2
11,404,5
14,404,4
20,404,4
21,404,5
26,404,4
27,404,4
35,404,4
37,404,4
40,404,5
52,404,3
58,404,3
73,404,5
78,404,4
1,411,5
8,411,1
9,411,2
11,411,5
26,411,4
48,411,4
1,412,5
13,412,4
21,412,5
24,412,5
43,412,5
55,412,5
66,412,5
79,412,3
1,418,5
2,418,5
8,418,3
19,418,4
24,418,5
26,418,4
34,418,5
37,418,5
43,418,5
43,418,4
54,418,5
63,418,4
1,422,4
2,422,3
3,422,1
14,422,4
17,422,5
1,426,5
2,426,5
5,426,5
14,426,5
19,426,3
34,426,5
37,426,4
43,426,5
55,426,3
1,431,4
2,431,4
7,431,4
14,431,5
35,431,4
72,431,4
1,432,5
9,432,5
26,432,4
34,432,5
40,432,5
69,432,2
78,432,4
79,432,5
1,433,3
2,433,4
26,433,3
37,433,5
48,433,5
1,445,5
5,445,4
8,445,4
11,445,5
26,445,5
1,454,3
7,454,4
14,454,4
24,454,4
30,454,4
33,454,2
40,454,4
1,456,5
2,456,5
5,456,5
34,456,5
37,456,5
40,456,5
43,456,5
73,456,5
1,459,5
2,459,5
5,459,5
7,459,5
9,459,5
11,459,5
14,459,5
19,459,5
20,459,5
21,459,5
35,459,5
37,459,5
48,459,5
50,459,5
63,459,5
66,459,5
73,459,5
1,481,5
2,481,5
3,481,5
8,481,5
24,481,5
1,486,4
8,486,5
14,486,5
17,486,5
20,486,5
32,486,5
33,486,5
48,486,4
66,486,5
69,486,5
79,486,5
1,487,4
2,487,4
3,487,3
9,487,3
11,487,4
13,487,3
26,487,5
33,487,5
1,502,4
1,502,5
5,502,4
13,502,3
14,502,4
16,502,4
20,502,5
20,502,4
26,502,4
32,502,5
34,502,3
48,502,5
55,502,4
63,502,5
78,502,4
1,505,5
8,505,4
20,505,4
34,505,5
35,505,4
43,505,5
72,505,5
79,505,5
1,514,5
8,514,5
14,514,5
21,514,5
35,514,5
66,514,5
72,514,5
1,530,5
13,530,4
14,530,5
16,530,5
35,530,3
1,546,5
8,546,5
14,546,4
19,546,4
35,546,5
1,555,4
2,555,3
3,555,4
16,555,5
17,555,3
1,561,4
2,561,3
11,561,4
27,561,5
58,561,4
1,571,3
2,571,4
5,571,4
21,571,4
30,571,4
1,575,5
3,575,5
11,575,4
24,575,4
43,575,5
73,575,5
1,583,5
9,583,5
13,583,5
14,583,5
35,583,4
66,583,5
1,601,4
