name,rate_avg,num_reviews,detail
월명동수련원,4.9,1023,사원 및 자연
대전근현대사전시관(구 충남도청),4.1,232,박물관 및 역사
동춘당공원,4.3,655,공원
정지용 시인 생가,4.2,637,문학
테미오래,4.4,135,
보문산성,4.5,364,
보라매공원,4.2,201,공원
슬픈연가 촬영지,4.6,275,
만인산휴게소,4.2,487,
목척교,4.0,770,음악
대청댐물문화관,4.1,699,
옛터민속박물관,4.3,383,박물관
테미공원,4.4,397,공원
대청호반자연생태공원,4.3,523,공원
대둔산자연휴양림,4.2,247,야영 및 자연
대전어린이회관,4.5,613,
서문시장,4.2,16043,활기 넘치는 대규모 전통 시장
83타워,4.4,4255,전망대가 있는 높은 타워
앞산,4.7,106,등산로와 케이블카가 있는 산
팔공산,4.3,158,사원과 신전이 있는 푸른 산
대구수목원,4.6,3052,정원
대구미술관,4.4,2476,"미술관, 예술 및 박물관"
두류공원,4.3,520,83 타워 및 스포츠 시설이 있는 공원
김광석 다시그리기길,4.2,7076,
대구 팔공산 갓바위,4.6,4352,산 정상에 있는 영험한 불상
대구약령시한의약박물관,4.1,903,약초 전시 및 체험 프로그램
이월드,4.4,6224,놀이기구와 타워가 있는 놀이공원
국립대구박물관,4.3,1261,대구의 문화 유산 박물관
비슬산,4.4,164,등산로와 야생 진달래 군락지가 있는 산
네이처파크,4.4,747,동물원
팔공산케이블카,4.3,2321,산 풍경을 감상할 수 있는 케이블카
송해공원,4.3,5115,공원
달성공원,4.2,3908,작은 동물원이 있는 넓은 공원
계산성당,4.5,1707,"교회당, 대성당, 로마네스크 건축, 고딕 건축 및 건축"
경상감영공원(慶尙監營公園),4.0,1425,옛 정부 건물이 있는 공원
디아크문화관,4.3,3911,독특한 구조의 멀티미디어 박물관
동촌유원지,4.2,2600,오리배가 있는 강변 공원
우포늪,4.5,124,희귀 조류와 식물이 사는 습지대
은해사(銀海寺),4.4,646,불교 및 사원
마비정벽화마을,3.9,878,
국립대구과학관,4.4,2510,천체 투영관이 있는 과학 박물관
대구아쿠아리움,4.3,1839,수족관
청도 프로방스,4.0,1848,조명이 있는 동화 테마파크
강정보,4.4,597,
국채보상운동기념공원,4.3,1421,공원
대구근대역사관,4.3,529,현지 역사를 주제로 한 박물관
비슬산 자연휴양림,4.4,484,"하이킹, 동굴 등을 즐길 수 있는 숲"
월광수변공원,4.4,3337,산책로와 장미가 있는 수변 공원
파계사(把溪寺),4.3,469,사원 및 불교
대구예술발전소,4.2,897,"예술, 건축 및 미술관"
안지랑곱창골목,4.0,2098,
도동서원(道東書院),4.4,849,역사
대구섬유박물관,4.3,272,박물관
아양교,4.2,511,
옻골마을 돌담길,4.2,366,
앞산전망대,4.6,2034,
대구오페라하우스,4.3,862,"오페라, 뮤지컬, 오페라 극장 및 음악"
칠성종합시장,4.1,3168,장어
아양기찻길,4.1,1125,
대구시민안전테마파크,4.5,146,
서문시장 야시장,3.9,465,
삼성현 역사문화공원,4.6,405,박물관
남평문씨 본리세거지(南平文氏 本里世居地),4.2,1010,
봉무공원(鳳舞公園),4.4,1231,"공원, 수상스키, 웨이크보딩 및 야영"
성주 한개마을,4.1,323,
유가사(瑜伽寺),4.3,577,
동산계곡,3.9,230,
불로동 고분군,4.4,643,무덤 및 유적
치산계곡,4.1,186,야영
화원유원지,4.2,703,
군위 아미타여래삼존 석굴,4.2,800,불교
가산산성,4.3,410,사적 및 야영
방천시장,4.0,873,예술
망우당공원(忘憂堂公園),4.1,460,공원
향촌문화관,4.4,736,박물관
대한불교조계종 선본사(禪本寺),4.4,478,불교 및 사원
고산골 공룡공원,4.2,2050,공원
아르떼 수성랜드,4.0,1267,"놀이기구, 게임, 스케이트장이 있는 놀이공원"
도동 측백나무 숲,4.0,323,자연
봉산문화회관,4.2,502,"예술, 뮤지컬 및 연극"
이상화고택,4.2,424,
앞산 빨래터공원,4.2,828,공원
대한불교조계종 대견사(大見寺),4.4,734,불교
침산공원,4.3,330,공원
은해사 거조암 영산전,4.6,237,불교
봉무나비생태원,4.4,178,
성 베네딕도회 왜관 수도원,4.7,258,수도원 및 대수도원
송림사(松林寺),4.4,524,사원 및 불교
에코테마파크대구숲,3.6,167,공원
대구방짜유기박물관,4.1,317,박물관
달성 하목정,4.0,223,
용연사(龍淵寺),4.4,493,불교 및 사원
2·28기념중앙공원,4.2,2667,공원
하중도 유채꽃단지,4.2,520,
청라언덕,4.4,1013,건축 및 역사
이현공원(梨峴公園),4.4,192,공원
팔공산 수태골,4.2,335,단풍
대왕암공원,4.6,4824,암석 지형이 있는 해변 공원
태화강 국가정원,4.6,5020,웅장한 정원과 대나무 숲
간절곶(艮絶串),4.6,488,한반도의 일출 명소
