name,rate_avg,num_reviews,detail
장생포 고래박물관,4.1,4035,포경 역사에 관해 다루는 어린이 동반 가능한 박물관
울산대공원,4.6,3344,산책로와 놀이터
일산해수욕장,4.3,3501,해변
울산박물관,4.3,555,박물관
대한불교조계종 석남사(石南寺),4.4,1042,"단풍, 불교 및 사원"
신불산,4.5,199,억새밭 전망의 산봉우리
울주 대곡리 반구대 암각화,4.3,665,약 200개의 바위 조각품 컬렉션
태화강 십리 대숲,4.6,1387,숲 및 정원
재약산,4.3,103,"등산, 습지, 늪 및 산"
밀양 얼음골,4.2,176,야영 및 자연
장생포 고래문화마을,4.3,2124,고래
간월재,4.6,2691,등산 및 단풍
통도환타지아,4.1,761,놀이공원 및 워터파크
운문사,4.5,2785,6세기 불교 사원 단지
간월산,4.3,116,등산 및 산
울산대교 전망대,4.3,1943,
자수정 동굴나라,3.9,3957,동굴
파래소폭포,4.4,340,야영 및 자연
장안사,4.3,1409,사원 및 단풍
선암호수공원,4.5,1038,공원
고래생태체험관,4.2,105,"고래, 돌고래, 박물관 및 고래 관광"
외고산 옹기마을,4.1,891,
슬도등대,4.3,431,등대
작천정계곡,4.4,331,야영
대운산자연휴양림,4.3,648,야영 및 자연
울산시립미술관,4.3,177,미술관 및 예술
아쿠아환타지아,4.0,1090,워터파크
간절곶등대,4.5,272,등대
울산암각화박물관,4.4,523,박물관
울기등대,4.3,359,등대 및 공원
은하수길,4.6,848,
영남알프스 얼음골케이블카 하부승강장,4.1,2054,
서생포 왜성,4.1,189,성 및 역사
태화루,4.3,1078,
울산대곡박물관,4.3,128,박물관
배내봉,4.3,109,
울주 천전리 각석,4.6,135,선사 시대 및 유적
간절곶 소망우체통,4.4,1704,
내원암,4.3,186,
운문산자연휴양림관리사무소,4.4,433,야영
대왕암 출렁다리,4.5,195,
울산문화예술회관,4.4,1058,"예술, 음악회, 연극 및 공연 예술"
진하 해수욕장,4.2,1505,윈드서핑
함월루,4.5,547,
태화강동굴피아,3.8,706,
학성공원,4.0,556,공원
명선교,4.2,585,
몽돌해수욕장,4.5,1033,야영
층층폭포,4.5,156,
송정박상진호수공원,4.5,816,공원
홍류폭포,4.1,355,
영남알프스 복합웰컴센터,4.4,1249,자연
십리대밭교,4.5,366,
태화강전망대,4.2,691,
당사해양낚시공원,3.8,231,야영
무거천 벚꽃길,4.5,194,
대왕별아이누리,4.3,466,놀이공원 및 공원
울산대공원 동물원,4.5,277,동물원
강양항일출포인트,4.2,313,
해운대해수욕장,4.5,1332,수영과 도시 전망을 즐길 수 있는 번화한 해변
해동용궁사,4.4,17137,해안가의 14세기 불교 사찰
감천문화마을,4.3,21527,다채로운 주택과 예술을 즐길 수 있는 독특한 마을
자갈치시장,4.0,21168,한국 최대의 해산물 시장
광안리해수욕장,4.6,762,티키 파라솔이 늘어선 다리 전망의 해변
"태종대리조트파크, 부산",4.3,4365,해변 전망대가 있는 고지대 공원
광안대교,4.5,579,7km에 걸친 현대적인 다리
범어사,4.6,2923,"1,300년 된 불교 사찰"
다이아몬드타워 (부산타워),4.2,6352,전망대가 있는 높은 타워
국제시장,4.1,11206,길거리 음식 및 가정용품을 판매하는 분주한 시장
송도해수욕장,4.3,262,케이블카와 구름다리가 있는 오랜 명소
오륙도 스카이워크,4.2,9037,바다 풍경을 내려다볼 수 있는 유리 다리
동백섬,4.5,214,공원이 있는 아름다운 반도
씨라이프 부산 아쿠아리움(SEA LIFE BUSAN),4.2,7327,"수족관, 펭귄, 거북 및 수달"
용두산공원,4.3,4626,전망대가 있는 산악 공원
BIFF광장,4.1,15817,극장과 길거리 음식으로 유명한 활기 넘치는 지역
부산시립미술관,4.3,2035,조각 정원이 있는 현대 미술관
스파랜드 신세계백화점 센텀시티점,4.5,2426,온천
재한유엔기념공원,4.7,150,한국 전쟁 기념 묘지
롯데워터파크 김해,4.1,4707,"슬라이드, 수영장 등이 있는 대규모 공간"
부산시민공원,4.5,7421,옛 미군 기지에 자리한 도심 공원
청사포 다릿돌전망대,4.3,3491,경치가 멋진 부두와 전망대
센텀시티 일반산업단지,4.2,633,쇼핑과 레크리에이션을 위한 대규모 단지
롯데월드 어드벤처 부산,3.8,977,"놀이기구, 롤러코스터, 공원 및 놀이공원"
송도해상케이블카 송도베이스테이션,4.3,14114,유리 바닥으로 된 케이블카
이기대,4.5,725,바위 해안을 따라 산책할 수 있는 공원
부평깡통시장,4.1,15664,길거리 음식 가판대가 있는 활기찬 분위기의 시장
국립해양박물관,4.3,4596,해양 전시와 터널형 수족관
오륙도,4.5,139,아름다운 바다 풍경의 바위섬
부산항대교,4.5,118,조명 쇼와 항구 전망을 즐길 수 있는 다리
다대포해수욕장,4.3,1565,해변
삼락생태공원,4.3,1864,"새, 산책로, 스포츠 시설"
전포 카페거리,4.2,1410,신선한 커피와 식사를 판매하는 트렌디한 카페
부산현대미술관,4.3,2078,"미술관, 예술 및 박물관"
민락수변공원,4.2,5786,멋진 경관과 피크닉 장소를 갖춘 수변 공원
해운대 블루라인파크,4.2,186,해변
다대포해수욕장,4.4,218,일몰과 근처 공원으로 유명한 해변
흰여울문화마을,4.3,5518,해안 산책로가 있는 전원풍 지역
송정해수욕장,4.4,233,서핑 애호가들에게 인기 있는 넓은 모래사장
부산박물관,4.3,1546,부산의 역사 및 문화 박물관
송도구름산책로,4.4,5481,바다를 보며 걸을 수 있는 현대적인 해변 스카이워크
