,0,1,2,3,4,5
0,경복궁,4.6,35730,투어 & 박물관이 있는 역사적인 궁전,한식당,경기도 수원시 영통구 반달로 31 호원빌딩
1,N서울타워,4.5,48753,도시의 전경을 조망할 수 있는 타워 & 레스토랑,관광 명소,서울특별시 용산구 남산공원길 105
2,북촌한옥마을,4.3,13286,600년의 역사를 지닌 유적 마을,관광 명소,서울특별시 종로구 계동길 37
3,롯데월드,4.2,39286,수족관이 있는 어드벤처 & 워터파크,테마파크,서울특별시 송파구 올림픽로 240
4,청계천,4.4,6418,복원된 개울이 있는 도시 공원 공간,관광 명소,서울특별시 종로구 청계천로 1
5,국립중앙박물관,4.6,18833,현대적인 한국 문화 전시의 중심지,박물관,서울특별시 용산구 서빙고로 137
6,DDP 동대문디자인플라자,4.3,25459,디자인 센터가 있는 초현대적 공간,문화센터,서울특별시 중구 을지로7가 을지로 281
7,광장시장,4.1,31048,오래된 전통 식료품 시장,재래시장,서울특별시 종로구 창경궁로 88
8,남대문시장,4.2,23150,방대한 전통 시장,시장,
9,덕수궁,4.5,16374,왕궁수문장 의식을 볼 수 있는 궁전,문화적 랜드마크,서울특별시 중구 세종대로 99
10,조계사,4.5,5651,조계종 총본사와 웅장한 본당,불교사찰,서울특별시 종로구 우정국로 55
11,북한산국립공원,4.6,2246,산책로와 사원이 있는 산악 공원,국립공원,서울특별시 성북구 보국문로 262
12,국립민속박물관,4.5,1830,한국의 관습과 문화를 보여주는 박물관,박물관,서울특별시 종로구 삼청로 37
13,창경궁,4.6,3030,15세기에 지은 왕궁,문화적 랜드마크,서울특별시 종로구 창경궁로 185
14,리움미술관,4.8,603,"미술관, 건축, 박물관, 예술 및 조각",미술관,서울특별시 용산구 이태원로55길 60-16
15,전쟁기념관,4.6,14817,"전쟁 관련 전시, 전차, 기념비",전쟁 박물관,서울특별시 용산구 이태원로 29
16,스타필드 코엑스몰,4.2,20327,수족관이 있는 거대한 지하 쇼핑몰,쇼핑몰,서울특별시 강남구 영동대로 513
17,서울숲공원,4.6,8428,호수와 숲이 있는 넓은 공원,공원,서울특별시 성동구 뚝섬로 273
18,반포대교,4.4,806,무지개 분수가 설치된 2층 교량,다리,서울특별시
19,동대문종합시장,4.1,1740,"쇼핑, 패션 및 시장",시장,서울특별시 중구 종로 272
20,광화문,4.7,458,"궁전, 역사, 미술관 및 건축",역사적 명소,서울특별시 종로구 효자로 12
21,남산,4.6,504,"공원, 타워, 산책로가 있는 봉우리",산봉우리,서울특별시
22,남산골 한옥마을,4.3,8283,조선 시대에 지은 한옥을 둘러볼 수 있는 관광 명소,관광 명소,서울특별시 중구 퇴계로34길 28
23,올림픽공원,4.6,2479,1988년 서울 올림픽이 개최된 올림픽 공원,공원,서울특별시 송파구 올림픽로 424
24,북한산,4.7,259,현지 대표 명소인 봉우리 3개가 있는 산,산봉우리,서울특별시
25,청와대,3.8,791,대통령 공식 집무실과 관저,관공서,서울특별시 종로구 청와대로 1
26,롯데월드 아쿠아리움,4.2,13271,흰돌고래 및 쇼핑,수족관,서울특별시 송파구 올림픽로 300 지하1층
27,이화동 벽화마을,4.1,4155,벽화와 조형물로 이루어진 마을,관광 명소,서울특별시 종로구 낙산4길 49
28,낙산 성곽길,4.6,364,역사 깊은 담과 유적지를 따라 이어지는 경치 좋은 길,역사적 명소,서울특별시 종로구 창신동 622-83
29,서울시립미술관,4.6,677,"미술관, 예술, 박물관 및 근대 미술",미술관,서울특별시 중구 덕수궁길 61
30,별마당도서관,4.6,1625,쇼핑몰 안에 있는 넓고 현대적인 도서관,도서관,서울특별시 강남구 영동대로 513 스타필드 코엑스몰 B1
31,광화문광장,4.3,9345,거대한 동상이 우뚝 서 있는 공공 광장,역사적 명소,서울특별시 종로구 세종대로 지하172
32,63빌딩,4.2,8468,랜드마크 고층 건물 & 엔터테인먼트 공간,명소,서울특별시 영등포구 63로 50
33,서울대공원,4.4,11460,동물원 및 전시관이 있는 엔터테인먼트 지역,동물원,경기도 과천시 문원동 대공원광장로 102
34,여의도한강공원,4.5,13930,수영장이 있는 광대한 강변 공원,공원,서울특별시 영등포구 여의동로 330
35,서울역사박물관,4.4,4101,서울의 역사 전시,지역사 박물관,서울특별시 종로구 새문안로 55
36,서울로7017,4.1,6253,예전 고가도로에 지은 공원,시티 공원,서울특별시 중구 봉래동2가 122-14
37,국립고궁박물관,4.5,5250,조선 왕조의 유물을 전시한 박물관,국립박물관,서울특별시 종로구 효자로 12
38,서울랜드,4.3,12086,한국 최초 테마파크로 1988년에 개장,놀이공원,경기도 과천시 광명로 181
39,코엑스 아쿠아리움,4.3,9083,"펭귄, 해양 포유류, 토종 물고기",수족관,서울특별시 강남구 영동대로 513
40,어린이대공원,4.4,11721,"놀이공원, 놀이터, 동물원",놀이공원,서울특별시 광진구 능동로 216
