0,1,2,3,4,5
삼성궁(三聖宮),4.2,1844,,사원,경상남도 하동군 청암면 삼성궁길 2
용추계곡,4.5,345,야영,관광 명소,경상남도 함양군 안의면 상원리
칠선계곡,4.3,553,단풍,관광 명소,경상남도 함양군 마천면 추성리
가야랜드,3.9,1000,"놀이공원, 롤러코스터 및 야영",테마파크,경상남도 김해시 인제로 368
입곡군립공원,4.3,1297,"공원, 저수지 및 단풍",공원,경상남도 함안군 산인면 입곡리 산59
수승대(搜勝臺),4.3,1333,야영 및 연극,명승지,경상남도 거창군 위천면 은하리길 2
전주 한옥마을,4.1,26070,한옥이 있는 전통 마을,관광 명소,전라북도 전주시 완산구 풍남동3가 기린대로 99
내장산국립공원,4.3,3626,"공원, 단풍 및 산",산봉우리,순창군
경기전,4.3,1320,어진 박물관이 있는 유서 깊은 사원,역사적 명소,전라북도 전주시 완산구 태조로 44
자만벽화마을,3.9,1414,벽화로 알록달록한 집과 골목길,관광 명소,전라북도 전주시 한옥레일바이크
덕유산,4.6,256,폭포가 있는 국립공원의 산,산봉우리,무주군
남부시장,4.0,4852,수공예품과 길거리 음식을 판매하는 한국 시장,시장,전라북도 전주시 완산구 풍남문1길 19-3
선운사(禪雲寺),4.4,3245,숭엄한 6세기 불교 사찰,불교사찰,전라북도 고창군 선운사로 250
선유도,4.1,180,모래 해변이 있는 경치 좋은 섬,섬,군산시
풍남문,4.2,1399,정자 형태로 된 옛 요새의 관문,역사적 명소,전라북도 전주시 완산구 풍남문3길 1
전동성당,4.4,3489,순교자의 조각상이 있는 로마네스크 교회,천주교 성당,전라북도 전주시 완산구 태조로 51
전주동물원,4.3,3565,동물원,동물원,전라북도 전주시 덕진구 덕진동1가 소리로 68
마이산,4.3,141,암석 절벽과 등산로가 있는 적당한 높이의 봉우리,산봉우리,진안군
오목대,3.9,195,한옥마을 전망과 기념비가 있는 전망대,역사적 명소,전라북도 전주시 완산구 기린대로 55
덕진공원,4.2,3503,탑과 연꽃 연못이 있는 호숫가 공원,공원,전라북도 전주시 덕진구 덕진동1가 권삼득로 390
전주향교,4.3,1650,은행나무가 있는 수백 년 된 학교,역사적 명소,전라북도 전주시 완산구 향교길 139
광한루원,4.3,4390,,역사적 명소,전라북도 남원시 금동 요천로 1447
채석강,4.2,2755,절벽 및 공원,국립공원,전라북도 부안군 변산면 격포리 301-1
금산사,4.5,1532,서기 599년에 설립되어 현재까지 운영 중인 불교 사찰,불교사찰,전라북도 김제시 금산면 금산리 39
임실치즈테마파크,4.3,1402,,테마파크,전라북도 임실군 성수면 도인2길 50
무주구천동계곡,4.5,359,단풍 및 야영,관광 명소,전라북도 무주군 설천면 심곡리
광한루(廣寒樓),4.4,2486,재건된 15세기 누각,역사적 명소,전라북도 남원시 천거동 78
군산근대역사박물관,4.1,4704,1930년대 도시에 대해 다루는 지역 역사 박물관,지역사 박물관,전라북도 군산시 해망로 240
뱀사골 계곡,4.6,552,"단풍, 야영 및 자연",관광 명소,전라북도 남원시 산내면 부운리 산93-4
향적봉,4.5,319,등산 및 단풍,산봉우리,무주군
금강하구둑,4.0,141,철새,관광 명소,전라북도 군산시 성산면 성덕리 411-1
익산 미륵사지,4.4,2335,7세기에 축조한 석탑,역사적 장소,전라북도 익산시 금마면 기양리 97
경암동철길마을 시작점,3.8,6833,복고풍 상점과 폐철로,관광 명소,전라북도 군산시 경촌안3길 49 KR
객리단길,4.2,323,,관광 명소,전라북도 전주시 완산구 중앙동2가 10-1
고창읍성,4.4,2858,역사,요새,전라북도 고창군 고창읍 모양성로 1
국립전주박물관,4.4,1178,다양한 전시물을 갖춘 국립 박물관,국립박물관,전라북도 전주시 완산구 쑥고개로 249
국립무형유산원,4.4,420,,문화유산 박물관,전라북도 전주시 완산구 동서학동 서학로 95
전주 풍패지관,4.1,442,,역사적 명소,전라북도 전주시 완산구 충경로 59
어진박물관,4.2,1146,박물관,역사 박물관,전라북도 전주시 완산구 태조로 44
완산공원,4.3,181,공원,공원,전라북도 전주시 완산구 서서학동 매곡로 35-29
신흥동 일본식가옥,3.7,3095,전통 일본식 가옥과 정원,관광 명소,전라북도 군산시 신흥동 구영1길 17
왕궁리유적,4.4,678,유적 및 역사,역사적 장소,전라북도 익산시 왕궁면 왕궁리 산80-1
춘향테마파크,3.7,1133,,관광 명소,전라북도 남원시 노암동 양림길 14-9
직소폭포,4.4,461,,관광 명소,전라북도 부안군 변산면 중계리 산95-10
국립익산박물관,4.5,816,박물관,국립박물관,전라북도 익산시 금마면 미륵사지로 362
전북도립미술관,4.2,782,"미술관, 파블로 피카소, 마르크 샤갈, 예술 및 박물관",미술관,전라북도 완주군 구이면 모악산길 111-6
한벽당,4.3,111,건축,역사적 장소,전라북도 전주시 완산구 교동 15
무주 머루와인,3.6,1907,"동굴, 포도주 및 와인 농장",관광 명소,전라북도 무주군 적상면 북창리 산119-5
마이산도립공원,4.4,248,공원,도립공원,전라북도 진안군 진안읍 단양리 688
변산마실길,4.2,115,,하이킹코스,전라북도 부안군 변산면 격포리
익산보석박물관,3.8,1439,박물관,박물관,전라북도 익산시 왕궁면 호반로 8
벽골제,4.2,1321,"저수지, 유적 및 역사",관광 명소,전라북도 김제시 부량면 신용리 119-1 KR
한국도로공사 전주수목원,4.5,2759,정원,수목원,전라북도 전주시 덕진구 반월동 848
백제왕궁박물관,4.3,340,유적 및 역사,역사적 장소,전라북도 익산시 왕궁면 궁성로 666
고인돌공원,4.1,1337,,공원,경기도 오산시 금암동
은파호수공원(동편),4.5,830,공원,공원,전라북도 군산시 지곡동 415-6
대장봉(장자봉),4.5,1143,,명승지,전라북도 군산시 옥도면 대장도리
대한불교조계종 동국사,4.0,1891,불교 및 사원,불교사찰,전라북도 군산시 동국사길 16
진포해양테마공원,4.0,2131,공원,공원,전라북도 군산시 내항2길 32
안국사,4.1,308,단풍 및 사원,불교사찰,전라북도 무주군 적상면 괴목리 산184-1
고산자연휴양림,4.4,465,야영,휴양림,전라북도 완주군 고산면 오산리 산43-1
위봉폭포,4.3,161,,명승지,전라북도 완주군 소양면 대흥리
태권도원(Taekwondowon),4.6,950,태권도,스포츠 단지,전라북도 무주군 설천면 무설로 1482 KR 태권도원
군산근대건축관,4.2,333,건축 및 미술관,박물관,전라북도 군산시 장미동 해망로 214
칠연계곡,4.3,275,야영,관광 명소,전라북도 무주군 안성면 공정리
전라감영,4.4,274,,역사적 장소,전라북도 전주시 완산구 중앙동1가 4-1
부안영상테마파크,2.9,347,,테마파크,전라북도 부안군 변산면 격포로 309-64
전주한지박물관,4.3,257,인터랙티브 한지 전시관,박물관,전라북도 전주시 덕진구 팔복동 팔복로 59
대아 수목원,4.3,625,,수목원,전라북도 완주군 동상면 대아수목원로 94-34
옥정호 구절초테마공원,4.2,1620,공원,공원,전라북도 정읍시 산내면 매죽리
순천만습지,4.4,9491,자연 및 조류 보호 구역,생태 공원,전라남도 순천시 순천만길 513-25
죽녹원,4.4,9955,거대한 대나무 숲 속의 산책로,휴양림,전라남도 담양군 담양읍 죽녹원로 119
낙안읍성민속마을,4.2,5530,역사적인 요새에 자리한 문화 명소,관광 명소,전라남도 순천시 낙안면 평촌리 6-4
오동도,4.4,299,동백꽃이 피는 경치 좋은 섬,섬,여수시
순천만국가정원,4.5,6128,독특한 조경지를 자랑하는 정원,정원,전라남도 순천시 국가정원1호길 152-55
