,0,1,2,3,4,5,6,7
0,242,대구,서문시장,4.2,16043,활기 넘치는 대규모 전통 시장,회 전문점,경기도 수원시 장안구 영화동 444-12
1,243,대구,83타워,4.4,4255,전망대가 있는 높은 타워,전망대,대구광역시 달서구 두류동 두류공원로 200
2,244,대구,앞산,4.7,106,등산로와 케이블카가 있는 산,산봉우리,대구광역시
3,245,대구,팔공산,4.3,158,사원과 신전이 있는 푸른 산,산봉우리,군위군
4,246,대구,대구수목원,4.6,3052,정원,수목원,대구광역시 달서구 화암로 342
5,247,대구,대구미술관,4.4,2476,"미술관, 예술 및 박물관",미술관,대구광역시 수성구 삼덕동 미술관로 40 대구미술관
6,248,대구,두류공원,4.3,520,83 타워 및 스포츠 시설이 있는 공원,시티 공원,대구광역시 달서구 성당동 154
7,249,대구,김광석 다시그리기길,4.2,7076,,관광 명소,대구광역시 중구 대봉동
8,250,대구,대구 팔공산 갓바위,4.6,4352,산 정상에 있는 영험한 불상,종교적 성지,대구광역시 동구 갓바위로 229
9,251,대구,대구약령시한의약박물관,4.1,903,약초 전시 및 체험 프로그램,지역사 박물관,대구광역시 중구 달구벌대로415길 49
10,252,대구,이월드,4.4,6224,놀이기구와 타워가 있는 놀이공원,테마파크,대구광역시 달서구 두류공원로 200
11,253,대구,국립대구박물관,4.3,1261,대구의 문화 유산 박물관,국립박물관,대구광역시 수성구 청호로 321
12,254,대구,비슬산,4.4,164,등산로와 야생 진달래 군락지가 있는 산,산봉우리,대구광역시
13,255,대구,네이처파크,4.4,747,동물원,동물원,대구광역시 달성군 가창면 가창로175길
14,256,대구,팔공산케이블카,4.3,2321,산 풍경을 감상할 수 있는 케이블카,산악 케이블카,대구광역시 동구 용수동 팔공산로185길 51
15,257,대구,송해공원,4.3,5115,공원,공원,대구광역시 달성군 옥포면 기세리 306
16,258,대구,달성공원,4.2,3908,작은 동물원이 있는 넓은 공원,공원,대구광역시 중구 달성공원로 35
17,259,대구,계산성당,4.5,1707,"교회당, 대성당, 로마네스크 건축, 고딕 건축 및 건축",천주교 성당,대구광역시 중구 서성로 10
18,260,대구,경상감영공원(慶尙監營公園),4.0,1425,옛 정부 건물이 있는 공원,공원,대구광역시 중구 경상감영길 99
19,261,대구,디아크문화관,4.3,3911,독특한 구조의 멀티미디어 박물관,문화센터,대구광역시 달성군 다사읍 강정본길 57
20,262,대구,동촌유원지,4.2,2600,오리배가 있는 강변 공원,공원,대구광역시 동구 효목1동 효동로6길
21,263,대구,앞산,4.5,61,등산,산봉우리,대구광역시
22,264,대구,우포늪,4.5,124,희귀 조류와 식물이 사는 습지대,자연보호구역,"Yibang-myeon/Yueu-myeon/Daehap-myeon areas of Changnyeong-gun, Gyeongsangnam-do, 창녕군 유어면"
23,265,대구,은해사(銀海寺),4.4,646,불교 및 사원,불교사찰,경상북도 영천시 청통면 청통로 951
24,266,대구,마비정벽화마을,3.9,878,,관광 명소,대구광역시 달성군 화원읍 본리리
